Date,BTC,BTC Volume mln,Bitcoin My Wallet Number of Transaction Per Day,NVDA,Ethereum,DJI,,
1/31/20,9350.529297,29432.49,88553,59.107498,180.160172,28256.03,,
2/3/20,9293.521484,30934.10,87643,60.0825,189.865067,28399.81,,
2/4/20,9180.962891,29893.18,92900,61.782501,189.250595,28807.63,,
2/5/20,9613.423828,35222.06,92900,62.689999,204.23024,29290.85,,
2/6/20,9729.801758,37628.82,88679,63.5625,212.339081,29379.77,,
2/7/20,9795.943359,34522.72,84881,62.897499,222.726059,29102.51,,
2/10/20,9856.611328,39386.55,84989,65.7425,223.522705,29276.82,,
2/11/20,10208.23633,37648.06,90760,66.972504,235.851196,29276.34,,
2/12/20,10326.05469,43444.30,91904,68.135002,265.406128,29551.42,,
2/13/20,10214.37988,49356.07,89278,67.695,268.099243,29423.31,,
2/14/20,10312.11621,43338.26,84538,72.447502,284.217499,29398.08,,
2/18/20,10141.99609,47271.02,85690,74.142502,281.94458,29232.19,,
2/19/20,9633.386719,46992.02,85901,78.675003,259.763977,29348.03,,
2/20/20,9608.475586,44925.26,80755,77.175003,257.949463,29219.98,,
2/21/20,9686.441406,40930.55,84686,73.517502,265.600616,28992.41,,
2/24/20,9650.174805,45080.50,82491,68.32,265.216431,27960.8,,
2/25/20,9341.705078,42515.26,80602,65.512497,247.817596,27081.36,,
2/26/20,8820.522461,50420.05,83577,66.912498,225.680267,26957.59,,
2/27/20,8784.494141,45470.20,83331,63.150002,226.753387,25766.64,,
2/28/20,8672.455078,44605.45,84323,67.517502,226.760498,25409.36,,
3/2/20,8869.669922,42857.67,89066,69.107498,230.569778,26703.32,,
3/3/20,8787.786133,42386.72,88959,66.472504,224.47963,25917.41,,
3/4/20,8755.246094,34746.71,88466,71.127502,224.517975,27090.86,,
3/5/20,9078.762695,39698.05,93677,68.322502,229.268188,26121.28,,
3/6/20,9122.545898,40826.89,88006,66.510002,243.525299,25864.78,,
3/9/20,7923.644531,46937.00,83604,61.360001,201.986328,23851.02,,
3/10/20,7909.729492,42213.94,85604,65.269997,200.767242,25018.16,,
3/11/20,7911.430176,38682.76,85710,61.6175,194.86853,23553.22,,
3/12/20,4970.788086,53980.36,85208,54.077499,112.347122,21200.62,,
3/13/20,5563.707031,74156.77,73819,60.209999,133.201813,23185.62,,
3/16/20,5014.47998,45368.03,75919,49.099998,110.605873,20188.52,,
3/17/20,5225.629395,38622.64,83264,54.317501,113.942749,21237.38,,
3/18/20,5238.438477,37878.80,75091,50.705002,114.84227,19898.92,,
3/19/20,6191.192871,51000.73,81910,53.2425,136.593857,20087.19,,
3/20/20,6198.77832,54442.98,82819,51.4375,132.737167,19173.98,,
3/23/20,6416.314941,46491.92,79098,53.172501,134.911606,18591.93,,
3/24/20,6734.803711,48221.91,81833,62.294998,138.761444,20704.91,,
3/25/20,6681.062988,44590.11,72808,61.404999,136.195892,21200.55,,
3/26/20,6716.44043,35319.80,77419,64.309998,138.361557,22552.17,,
3/27/20,6469.79834,34585.60,80254,63.182499,133.937943,21636.78,,
3/30/20,6429.841797,37101.65,79383,66.397499,132.904541,22327.48,,
3/31/20,6438.644531,32786.47,83871,65.900002,133.593567,21917.16,,
4/1/20,6606.776367,40346.43,84291,60.767502,135.634552,20943.51,,
4/2/20,6793.624512,47660.65,92394,63.8675,142.029144,21413.44,,
