Date,BTC,BTC Volume,Bitcoin My Wallet Number of Transaction Per Day,NVDA,Ethereum,DJI
4/10/23,29652.98047,19282400094,37534,275.790009,1911.20752,33586.52
4/6/23,28044.14063,13837809380,40631,270.369995,1872.922607,33485.29
4/5/23,28177.98438,17052315986,41744,268.809998,1909.114014,33482.72
4/4/23,28168.08984,15284538859,42030,274.529999,1871.005127,33402.38
4/3/23,27790.2207,19556501327,40540,279.649994,1810.297119,33601.15
3/31/23,28478.48438,19001327598,42396,277.769989,1822.022095,33274.15
3/30/23,28033.5625,22435349951,41323,273.829987,1792.737183,32859.03
3/29/23,28348.44141,20684945906,40920,269.839996,1793.001831,32717.6
3/28/23,27268.13086,17783600385,38539,264.100006,1772.785645,32394.25
3/27/23,27139.88867,18188895178,37895,265.309998,1715.460815,32432.08
3/24/23,27493.28516,25980310960,40523,267.790009,1752.0448,32237.53
3/23/23,28333.97266,24220433689,39621,271.910004,1816.405151,32105.25
3/22/23,27307.4375,33382021890,39439,264.679993,1737.717041,32030.11
3/21/23,28175.81641,36102192830,39174,261.98999,1806.760742,32560.6
3/20/23,27767.23633,44774027664,39852,259,1735.321289,32244.58
3/17/23,27423.92969,50730261335,44482,257.25,1792.485107,31861.98
3/16/23,25052.78906,33866061747,40583,255.410004,1677.215454,32246.55
3/15/23,24375.96094,43655701450,41215,242.279999,1656.180542,31874.57
3/14/23,24746.07422,54622230164,43318,240.630005,1703.50708,32155.4
3/13/23,24197.5332,49466362688,42304,229.660004,1680.30896,31819.14
3/10/23,20187.24414,39578257695,40554,229.649994,1429.158081,31909.64
3/9/23,20363.02148,30364664171,40306,234.360001,1438.660767,32254.86
3/8/23,21718.08008,22536575684,39367,241.809998,1534.088257,32798.4
3/7/23,22219.76953,22765452204,39993,232.880005,1561.933105,32856.46
3/6/23,22429.75781,17353192895,38904,235.539993,1567.398682,33431.44
3/3/23,22362.67969,26062404610,43595,238.899994,1569.167603,33390.97
3/2/23,23475.4668,20386398516,42142,233.139999,1647.319336,33003.57
3/1/23,23646.55078,24662841200,43976,226.979996,1663.433716,32661.84
2/28/23,23147.35352,20535363434,41638,232.160004,1605.895142,32656.7
2/27/23,23522.87109,22660763494,38680,235.009995,1634.326416,32889.09
2/24/23,23198.12695,26811744928,41993,232.860001,1608.373169,32816.92
2/23/23,23947.49219,30476264066,40636,236.639999,1651.073853,33153.91
2/22/23,24188.84375,30199996781,40411,207.539993,1643.231689,33045.09
2/21/23,24436.35352,31252098714,39022,206.550003,1658.036377,33129.59
2/17/23,24565.60156,41358451255,43124,213.880005,1694.783325,33826.69
2/16/23,23623.47461,39316664596,47232,220.020004,1640.067627,33696.85
2/15/23,24307.8418,32483312909,38198,227.639999,1673.745972,34128.05
2/14/23,22220.80469,26792596581,40425,229.710007,1556.875122,34089.27
2/13/23,21808.10156,23918742607,39964,217.880005,1507.165894,34245.93
2/10/23,21651.18359,27078406594,44051,212.649994,1514.869141,33869.27
2/9/23,21819.03906,32572572185,43683,223.369995,1546.438232,33699.88
2/8/23,22939.39844,25371367758,43945,222.050003,1650.716797,33949.01
2/7/23,23264.29102,27187964471,43032,221.729996,1672.00354,34156.69
2/6/23,22760.10938,23825006542,41407,210.889999,1616.24707,33891.02
2/3/23,23449.32227,27083066007,46018,211,1664.745605,33926.01
2/2/23,23471.87109,32066936882,45874,217.089996,1643.241577,34053.94
2/1/23,23723.76953,26683255504,45272,209.429993,1641.792725,34092.96
1/31/23,23139.2832,22837828665,43416,195.369995,1586.5354,34086.04
1/30/23,22840.13867,27205595568,40715,191.619995,1567.326538,33717.09
1/27/23,23078.72852,25383335641,43345,203.649994,1598.156494,33978.08
1/26/23,23032.77734,26357839322,41797,198.020004,1603.105957,33949.41
1/25/23,23117.85938,30685366709,41667,193.229996,1611.71106,33743.84
1/24/23,22636.46875,26405069715,41392,192.649994,1556.604248,33733.96
1/23/23,22934.43164,26518700512,40477,191.929993,1628.251099,33629.56
1/20/23,22676.55273,28799154319,45393,178.389999,1659.75415,33375.49
1/19/23,21086.79297,21152848261,43870,167.649994,1552.556519,33044.56
1/18/23,20688.78125,30005625418,42134,173.770004,1515.506958,33296.96
1/17/23,21161.51953,24999983362,41261,177.020004,1567.846069,33910.85
1/13/23,19909.57422,29225029694,46274,168.990005,1451.614868,34302.61
1/12/23,18869.58789,34971338710,43695,165.110001,1417.938477,34189.97
1/11/23,17934.89648,18372283782,41050,160.009995,1387.932739,33973.01
1/10/23,17446.29297,15808338949,40708,159.089996,1336.58606,33704.1
1/9/23,17196.55469,18624736866,39334,156.279999,1321.53894,33517.65
1/6/23,16951.96875,14413662913,41540,148.589996,1269.379028,33630.61
1/5/23,16836.73633,13692758566,39963,142.649994,1250.438599,32930.08
1/4/23,16863.23828,18421743322,38958,147.490005,1256.526611,33269.77
1/3/23,16679.85742,13903079207,36393,143.149994,1214.778809,33136.37
12/30/22,16602.58594,15929162910,41751,146.139999,1199.232788,33147.25
12/29/22,16642.3418,14472237479,37703,146.029999,1201.595337,33220.8
12/28/22,16552.57227,17005713920,36979,140.360001,1189.986084,32875.71
12/27/22,16717.17383,15748580239,33641,141.210007,1212.791626,33241.56
12/23/22,16796.95313,15329265213,42900,152.059998,1220.159424,33203.93
12/22/22,16830.3418,16441573050,41709,153.389999,1218.182129,33027.49
12/21/22,16817.53516,14882945045,40900,165.009995,1213.599976,33376.48
12/20/22,16906.30469,22722096615,39129,160.850006,1217.703613,32849.74
12/19/22,16439.67969,17221074814,38546,162.539993,1167.609863,32757.54
12/16/22,16647.48438,24031608960,42622,165.710007,1168.259399,32920.46
12/15/22,17364.86523,20964448341,41427,169.520004,1266.353882,33202.22
12/14/22,17815.65039,25534481470,41324,176.740005,1309.328735,33966.35
12/13/22,17781.31836,26634741631,41136,180.720001,1320.549194,34108.64
12/12/22,17206.4375,19617581341,39506,175.350006,1274.619019,34005.04
12/9/22,17133.15234,20328426366,43015,170.009995,1264.28479,33476.46
12/8/22,17233.47461,20496603770,40804,171.690002,1281.116333,33781.48
12/7/22,16848.12695,19675404389,40751,161.199997,1232.4375,33597.92
12/6/22,17089.50391,19889922369,40338,159.869995,1271.653809,33596.34
12/5/22,16974.82617,22209086834,42718,166.100006,1259.676758,33947.1
12/2/22,17088.66016,19539705127,45488,168.759995,1294.303345,34429.88
12/1/22,16967.13281,22895392882,45858,171.350006,1276.273926,34395.01
11/30/22,17168.56641,29523576583,43382,169.229996,1295.688599,34589.77
11/29/22,16444.98242,23581685468,40480,156.389999,1216.901245,33852.53
11/28/22,16217.32227,27743025156,39673,158.270004,1170.086182,33849.46
11/25/22,16521.8418,18678255976,40202,162.699997,1198.925903,34347.03
11/23/22,16610.70703,32958875628,42081,165.190002,1183.199585,34194.06
11/22/22,16189.76953,30726828760,40807,160.380005,1135.173462,34098.1
11/21/22,15787.28418,37429485518,39915,153.169998,1108.353027,33700.28
11/18/22,16697.77734,26862218609,45440,154.089996,1212.300293,33745.69
11/17/22,16687.51758,27868914022,42860,156.770004,1200.808594,33546.32
11/16/22,16669.43945,33925512989,43900,159.100006,1215.602539,33553.83
11/15/22,16884.61328,36599436183,41019,166.660004,1251.736206,33592.92
11/14/22,16618.19922,49630243054,38114,162.949997,1241.604248,33536.7
11/11/22,17034.29297,55871616488,44003,163.270004,1287.221069,33747.86
11/10/22,17586.77148,83202283721,42548,157.5,1299.4646,33715.37
11/9/22,15880.78027,1.03E+11,44106,137.759995,1100.1698,32513.94
11/8/22,18541.27148,1.19E+11,44057,146.020004,1332.835571,33160.83
11/7/22,20602.81641,53510852236,45074,143.009995,1568.591309,32827
11/4/22,21147.23047,64072727950,49871,141.559998,1645.093384,32403.22
11/3/22,20209.98828,43228750179,47624,134.210007,1531.541748,32001.25
11/2/22,20159.50391,55552169483,45864,132.190002,1519.711792,32147.76
11/1/22,20485.27344,39819303159,46704,135.429993,1579.70459,32653.2
10/31/22,20495.77344,45668466815,46946,134.970001,1572.714478,32732.95
10/28/22,20595.35156,43994715910,53045,138.339996,1555.477905,32861.8
