Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Saudi Arabia,Middle East,2014,8.3,9.6,89.12,0,98,98,28.3,98,98,0.13,20328,30.92,7.7,7.5,9.5,0,1,74.5
Singapore,Asia,2014,2.2,2.7,52.393,1.84,96,90,23.6,96,96,0.08,54683,5.47,2.2,2.2,11.4,0,1,82.5
Costa Rica,Central America and Caribbean,2014,7.9,9.3,87.237,3.12,91,90,27.2,91,91,0.19,11355,4.8,1.7,1.7,8.6,0,1,79.4
Austria,European Union,2014,3.1,3.8,65.815,12.4,98,87,25.5,98,98,0.08,44245,8.55,1.8,2,12.1,1,0,81.5
Argentina,South America,2014,10.8,12.1,118.5375,7.93,94,96,27.5,92,94,0.13,13568,42.67,1,0.9,9.8,0,1,75.9
France,European Union,2014,3.1,4.1,74.8905,12.07,83,77,25,98,98,0.1,36379,66.31,0.6,0.6,11.4,1,0,82.7
Switzerland,Rest of Europe,2014,3.8,4.3,49.998,9.62,88,87,25.1,96,96,0.05,84348,8.19,0.4,0.3,13.4,1,0,83.2
Zambia,Africa,2014,46,68.3,309.5495,4.22,86,33,22.4,78,86,4.77,1341,15.4,6.3,6.2,6.9,0,1,60.8
Dominican Republic,Central America and Caribbean,2014,28.8,35,163.0145,5.23,89,83,26.3,90,91,0.4,6547,10.17,3.3,3.2,7.8,0,1,73
Papua New Guinea,Oceania,2014,41.2,52.4,227.218,1.35,67,65,25.4,43,73,0.4,2565,7.95,1.3,1.3,4.3,0,1,63.2
Chile,South America,2014,6.9,8.1,90.433,7.92,95,88,27.8,95,95,0.19,13367,17.76,0.8,0.8,10.1,0,1,79.5
Honduras,Central America and Caribbean,2014,17.1,20,147.875,2.42,97,83,26.5,99,97,0.06,2256,8.96,2.1,2.1,6.2,0,1,74.3
"Bahamas, The",Central America and Caribbean,2014,12.2,14.3,160.15,9.22,96,83,27.8,96,96,0.34,31689,0.37,2.5,2.5,11.1,0,1,72.8
Afghanistan,Asia,2014,55.2,73.6,231.978,0.01,62,44,23.2,62,62,0.03,565,33.37,17.5,17.5,3.5,0,1,63
Tanzania,Africa,2014,41.9,59.9,255.4665,7.43,97,64,23.1,97,97,2.12,920,49.96,6.8,6.6,5.6,0,1,62.3
Solomon Islands,Oceania,2014,19.9,23.4,151.628,0.95,88,65,26.1,78,88,0.17,2195,0.59,1.1,1.2,5.3,0,1,71.9
Germany,European Union,2014,3.3,4,70.358,11.07,88,93,26.5,93,95,0.03,40851,80.98,1.1,1.1,14,1,0,81.1
Tonga,Oceania,2014,10.8,12.5,135.663,0.28,98,92,32.1,98,80,0.17,4276,0.1,0.1,0.1,11.1,0,1,70.4
